date/time,script,user,action,table,field,"key value","old value","new value"
"2023-10-30 05:33:42",/login,1,login,::1,,,,
"2023-10-30 05:49:41",/logout,1,logout,::1,,,,
"2023-10-30 05:50:09",/login,1,login,::1,,,,
"2023-10-30 05:55:06",/logout,1,logout,::1,,,,
"2023-10-30 05:55:25",/login,2,login,::1,,,,
"2023-10-30 05:56:15",/jdhpatientvisitsadd,2,A,jdh_patient_visits,patient_id,13,,1
"2023-10-30 05:56:15",/jdhpatientvisitsadd,2,A,jdh_patient_visits,visit_type_id,13,,3
"2023-10-30 05:56:15",/jdhpatientvisitsadd,2,A,jdh_patient_visits,user_id,13,,3
"2023-10-30 05:56:15",/jdhpatientvisitsadd,2,A,jdh_patient_visits,insurance_id,13,,3
"2023-10-30 05:56:15",/jdhpatientvisitsadd,2,A,jdh_patient_visits,visit_description,13,,[MEMO]
"2023-10-30 05:56:15",/jdhpatientvisitsadd,2,A,jdh_patient_visits,subbmitted_by_user_id,13,,2
"2023-10-30 05:56:15",/jdhpatientvisitsadd,2,A,jdh_patient_visits,visit_id,13,,13
"2023-10-30 05:57:55",/logout,2,logout,::1,,,,
"2023-10-30 05:58:07",/login,1,login,::1,,,,
"2023-10-30 05:58:39",/jdhchiefcomplaintsadd,1,A,jdh_chief_complaints,patient_id,6,,1
"2023-10-30 05:58:39",/jdhchiefcomplaintsadd,1,A,jdh_chief_complaints,chief_compaints,6,,[MEMO]
"2023-10-30 05:58:39",/jdhchiefcomplaintsadd,1,A,jdh_chief_complaints,id,6,,6
"2023-10-30 06:03:16",/logout,1,logout,::1,,,,
"2023-10-30 06:03:27",/jootidigitalhealthcare/login,nurse@example.com,autologin,::1,,,,
"2023-10-30 06:03:44",/jootidigitalhealthcare/logout,4,logout,::1,,,,
"2023-10-30 06:03:56",/jootidigitalhealthcare/login,2,login,::1,,,,
"2023-10-30 06:10:40",/jootidigitalhealthcare/logout,2,logout,::1,,,,
"2023-10-30 06:10:48",/jootidigitalhealthcare/login,4,login,::1,,,,
"2023-10-30 06:15:15",/jootidigitalhealthcare/logout,4,logout,::1,,,,
"2023-10-30 06:15:20",/jootidigitalhealthcare/login,4,login,::1,,,,
"2023-10-30 06:29:36",/jootidigitalhealthcare/logout,4,logout,::1,,,,
"2023-10-30 06:29:54",/jootidigitalhealthcare/login,5,login,::1,,,,
"2023-10-30 06:42:30",/jootidigitalhealthcare/logout,5,logout,::1,,,,
"2023-10-30 06:42:36",/jootidigitalhealthcare/login,5,login,::1,,,,
"2023-10-30 06:47:27",/jootidigitalhealthcare/logout,5,logout,::1,,,,
"2023-10-30 06:47:31",/jootidigitalhealthcare/login,5,login,::1,,,,
"2023-10-30 06:51:16",/jootidigitalhealthcare/logout,5,logout,::1,,,,
"2023-10-30 06:51:40",/jootidigitalhealthcare/login,6,login,::1,,,,
"2023-10-30 07:03:55",/jootidigitalhealthcare/logout,6,logout,::1,,,,
"2023-10-30 07:04:04",/jootidigitalhealthcare/login,6,login,::1,,,,
